#
# Undirected graph - Degree Distribution. G(7115, 100762). 1871 (0.2630) nodes with in-deg > avg deg (28.3), 1141 (0.1604) with >2*avg.deg (Fri Sep 23 19:17:16 2016)
#
# In-degree	Count
1	2315
2	641
3	387
4	245
5	165
6	160
7	138
8	111
9	89
10	110
11	86
12	93
13	64
14	65
15	59
16	53
17	47
18	56
19	33
20	44
21	42
22	41
23	28
24	38
25	26
26	38
27	31
28	39
29	37
30	32
31	36
32	22
33	28
34	26
35	20
36	22
37	29
38	25
39	29
40	25
41	27
42	27
43	23
44	30
45	28
46	26
47	27
48	28
49	22
50	27
51	26
52	27
53	16
54	21
55	26
56	18
57	28
58	24
59	17
60	22
61	24
62	13
63	19
64	22
65	13
66	24
67	22
68	7
69	16
70	22
71	15
72	21
73	17
74	10
75	18
76	11
77	13
78	10
79	15
80	12
81	15
82	5
83	8
84	12
85	11
86	10
87	19
88	7
89	16
90	5
91	8
92	8
93	11
94	7
95	6
96	10
97	10
98	10
99	8
100	9
101	8
102	3
103	10
104	8
105	9
106	4
107	8
108	4
109	9
110	7
111	6
112	9
113	5
114	12
115	9
116	8
117	5
118	9
119	8
120	3
121	6
122	4
123	7
124	7
125	4
126	12
128	3
129	3
130	5
131	2
132	2
133	5
134	3
135	2
136	3
138	5
139	6
140	2
141	4
142	3
143	3
144	8
145	2
146	5
147	8
148	3
149	3
150	4
152	3
153	1
154	4
155	1
156	3
157	5
158	2
159	4
160	4
161	1
162	4
163	4
164	3
166	1
167	2
168	3
169	2
170	1
171	2
172	3
173	2
175	3
176	1
177	2
178	2
179	4
180	1
181	4
182	1
184	1
186	3
187	2
188	1
189	2
190	4
191	3
192	2
193	3
194	4
195	3
197	2
199	1
200	1
202	3
203	1
204	4
205	4
206	1
207	1
208	2
210	2
211	2
212	4
213	1
214	2
216	2
217	2
218	2
219	1
221	2
222	1
223	1
224	3
226	2
227	3
228	2
229	1
230	2
231	1
232	1
233	2
234	1
238	2
239	1
243	1
244	2
245	1
246	1
247	1
248	2
249	1
250	1
251	1
253	1
254	1
255	1
256	1
257	2
258	1
260	1
263	3
264	1
265	1
266	2
268	2
269	1
271	1
274	2
275	3
276	1
281	1
287	1
288	1
291	2
292	1
297	1
298	3
302	1
303	1
305	1
309	2
311	2
314	3
318	1
321	1
328	1
331	1
332	1
334	1
346	1
352	1
353	1
356	1
361	2
362	1
365	1
368	1
372	1
378	1
384	1
387	1
395	1
399	3
403	1
406	1
410	2
414	1
425	1
435	1
446	1
467	1
477	1
495	1
517	1
533	1
618	1
688	1
732	1
740	1
743	1
773	1
1065	1
