#
# Undirected graph - Degree Distribution. G(50000, 255750). 13200 (0.2640) nodes with in-deg > avg deg (10.2), 6061 (0.1212) with >2*avg.deg (Fri Sep 23 19:43:17 2016)
#
# In-degree	Count
1	9702
2	6010
3	4557
4	3882
5	3076
6	2609
7	2216
8	1797
9	1602
10	1349
11	1189
12	1020
13	912
14	765
15	700
16	586
17	574
18	531
19	458
20	404
21	369
22	350
23	292
24	267
25	289
26	225
27	240
28	213
29	185
30	198
31	167
32	145
33	147
34	126
35	127
36	96
37	125
38	108
39	97
40	102
41	76
42	77
43	75
44	79
45	87
46	76
47	57
48	65
49	60
50	56
51	43
52	51
53	58
54	43
55	44
56	45
57	37
58	37
59	33
60	34
61	37
62	19
63	22
64	36
65	28
66	31
67	27
68	26
69	21
70	15
71	28
72	23
73	18
74	18
75	17
76	16
77	15
78	11
79	24
80	24
81	19
82	14
83	13
84	11
85	21
86	17
87	10
88	17
89	7
90	11
91	4
92	16
93	7
94	10
95	11
96	10
97	9
98	9
99	11
100	11
101	12
102	6
103	16
104	6
105	6
106	3
107	5
108	9
109	8
110	7
111	17
112	13
113	8
114	5
115	4
116	10
117	3
118	8
119	7
120	5
121	5
122	3
123	1
124	1
125	7
126	3
127	1
128	2
129	2
130	4
131	5
132	5
133	6
134	5
135	4
136	7
137	4
138	5
139	2
140	3
141	2
142	4
143	5
144	2
145	1
146	2
147	2
148	7
150	4
151	5
152	2
153	1
154	2
155	1
156	3
157	2
158	3
159	1
160	2
161	1
162	4
163	3
164	1
165	1
166	1
167	2
168	1
169	2
171	1
172	3
173	1
174	1
175	3
176	2
178	1
179	1
180	2
182	2
183	1
184	1
186	2
187	1
188	3
189	1
190	2
191	3
194	2
195	3
200	1
201	1
203	1
204	1
205	1
207	2
209	1
210	1
211	1
215	1
216	1
217	3
218	1
219	1
222	1
223	2
225	1
226	1
231	1
232	1
233	1
235	1
237	1
238	1
245	1
248	1
