#
# degree Distribution. G(17577, 561936). 4515 (0.2569) nodes with out-deg > avg deg (63.9), 1150 (0.0654) with >2*avg.deg (Mon Oct 31 20:49:25 2016)
#
# Out-degree	Count
32	1070
33	905
34	870
35	789
36	712
37	698
38	613
39	559
40	569
41	512
42	496
43	412
44	416
45	400
46	355
47	334
48	299
49	290
50	266
51	250
52	236
53	233
54	242
55	231
56	191
57	195
58	188
59	153
60	164
61	132
62	130
63	152
64	155
65	137
66	116
67	109
68	113
69	114
70	109
71	96
72	94
73	89
74	82
75	82
76	80
77	76
78	73
79	74
80	76
81	76
82	62
83	49
84	56
85	52
86	58
87	72
88	64
89	57
90	41
91	40
92	47
93	41
94	45
95	51
96	42
97	42
98	44
99	42
100	33
101	31
102	47
103	28
104	39
105	28
106	39
107	31
108	27
109	31
110	28
111	27
112	25
113	24
114	14
115	21
116	34
117	16
118	11
119	21
120	17
121	11
122	26
123	13
124	24
125	20
126	20
127	23
128	20
129	23
130	22
131	14
132	13
133	16
134	13
135	17
136	15
137	14
138	22
139	14
140	13
141	11
142	17
143	20
144	12
145	5
146	11
147	5
148	8
149	10
150	10
151	11
152	6
153	5
154	7
155	6
156	19
157	11
158	8
159	8
160	6
161	14
162	6
163	5
164	10
165	7
166	8
167	8
168	8
169	7
170	6
171	7
172	10
173	4
174	5
175	9
176	4
177	7
178	7
179	6
180	10
181	8
182	5
183	4
184	7
185	8
186	3
187	6
188	7
189	8
190	4
191	3
192	8
193	3
194	4
195	6
196	4
197	4
198	5
199	9
200	5
201	5
202	6
203	3
204	7
205	3
206	1
207	4
208	3
209	6
210	5
211	4
212	5
213	1
214	2
215	5
216	1
217	4
218	3
219	4
220	3
221	5
222	6
224	1
225	4
226	3
227	2
228	6
229	1
230	4
231	7
232	3
233	2
234	2
235	3
237	5
238	2
239	1
240	4
241	3
243	1
244	1
245	4
246	7
247	1
248	4
249	1
250	4
254	2
255	2
256	2
257	1
258	1
259	4
260	2
262	2
263	1
264	5
266	2
267	4
269	3
270	3
271	2
272	1
273	1
274	3
275	2
276	3
279	1
281	2
282	1
283	4
284	1
285	1
286	1
287	2
288	1
289	1
290	4
291	3
292	2
293	1
296	4
300	1
301	2
302	3
303	2
304	2
305	2
306	1
307	2
308	1
309	1
310	2
312	2
313	1
314	2
315	1
316	1
317	2
318	1
320	3
321	5
322	1
323	2
324	2
325	3
328	1
329	1
330	3
331	3
332	1
333	1
334	1
336	1
338	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
351	1
352	1
354	1
356	1
357	1
358	1
359	1
360	1
361	1
362	2
363	2
364	2
366	2
367	1
372	2
375	1
377	2
380	1
383	2
386	1
387	1
397	1
398	2
399	1
400	1
401	2
405	1
407	1
409	1
410	1
412	3
415	1
419	1
420	3
422	1
424	1
430	1
431	2
434	2
437	2
438	1
439	2
441	1
446	1
447	2
452	1
460	1
461	2
463	2
467	1
469	1
470	1
472	1
475	1
477	1
479	1
480	1
492	1
493	1
497	1
499	1
500	1
502	1
508	2
510	1
516	1
518	1
519	1
520	1
523	1
525	1
527	1
533	1
537	1
540	1
547	1
551	1
556	1
566	2
573	1
584	1
585	1
586	1
590	1
595	1
601	1
612	1
613	1
620	1
621	1
622	1
644	1
658	1
663	1
664	1
672	1
676	2
682	1
685	1
687	1
688	1
700	1
710	1
714	1
717	1
748	1
753	1
756	1
760	1
766	1
767	1
776	1
777	1
787	1
799	1
804	1
810	1
823	1
832	1
856	1
858	1
865	1
867	1
869	1
871	1
872	1
885	1
888	1
891	1
903	1
919	1
920	1
921	1
922	1
923	1
924	1
941	1
948	1
953	1
956	1
990	1
991	1
996	1
1010	1
1011	1
1018	1
1034	1
1060	1
1069	1
1080	1
1130	1
1162	1
1324	1
