#
# degree Distribution. G(17577, 287074). 4951 (0.2817) nodes with out-deg > avg deg (32.7), 2211 (0.1258) with >2*avg.deg (Mon Oct 31 20:49:24 2016)
#
# Out-degree	Count
1	475
2	597
3	634
4	683
5	655
6	664
7	661
8	585
9	604
10	553
11	521
12	485
13	411
14	404
15	425
16	377
17	328
18	353
19	316
20	284
21	291
22	273
23	230
24	231
25	235
26	209
27	222
28	202
29	209
30	161
31	180
32	168
33	141
34	158
35	133
36	109
37	104
38	114
39	115
40	127
41	118
42	92
43	97
44	96
45	93
46	90
47	85
48	76
49	79
50	80
51	71
52	66
53	72
54	53
55	63
56	60
57	42
58	46
59	56
60	53
61	49
62	53
63	61
64	47
65	41
66	44
67	26
68	50
69	48
70	35
71	39
72	39
73	30
74	46
75	51
76	31
77	40
78	24
79	33
80	31
81	34
82	18
83	31
84	26
85	24
86	23
87	26
88	19
89	23
90	21
91	18
92	23
93	22
94	24
95	21
96	21
97	22
98	28
99	22
100	14
101	24
102	14
103	15
104	20
105	21
106	11
107	14
108	14
109	16
110	15
111	18
112	12
113	15
114	21
115	18
116	8
117	12
118	8
119	21
120	14
121	17
122	8
123	13
124	13
125	9
126	7
127	21
128	12
129	5
130	6
131	9
132	8
133	4
134	14
135	7
136	8
137	8
138	5
139	8
140	10
141	4
142	8
143	4
144	7
145	9
146	10
147	9
148	5
149	10
150	2
151	7
152	3
153	5
154	6
155	4
156	2
157	6
158	5
159	8
160	8
161	3
162	7
163	9
164	4
165	7
166	9
167	6
168	9
169	5
170	3
171	7
172	7
173	2
174	4
175	8
176	5
177	9
178	7
179	9
180	6
181	13
182	5
183	8
184	9
185	8
186	7
187	9
188	4
189	7
190	6
191	7
192	7
193	5
194	6
195	4
196	5
197	2
198	3
199	6
200	3
201	5
202	4
203	10
204	6
205	6
206	8
207	12
208	6
209	6
210	7
211	6
212	7
213	4
214	5
215	4
216	4
217	2
218	4
219	4
220	4
221	7
222	4
223	2
224	3
225	8
226	2
227	4
228	1
229	3
231	4
232	2
233	1
235	1
236	1
239	1
240	3
241	2
242	1
243	1
244	2
245	3
246	1
250	1
251	2
252	2
253	3
254	3
255	1
256	1
257	3
258	2
259	3
260	2
262	3
263	3
265	3
266	1
267	1
269	1
270	2
272	2
275	4
278	1
279	1
280	3
283	2
286	1
287	2
289	3
293	1
294	1
295	1
297	1
298	1
299	1
300	1
310	1
311	1
312	1
313	1
314	2
318	2
319	1
320	2
323	1
324	2
326	1
331	1
333	1
334	2
335	1
336	1
340	1
341	1
345	2
346	2
350	2
355	2
358	1
361	1
365	1
366	1
372	2
376	3
377	1
382	1
392	1
393	2
395	2
398	1
400	1
402	1
410	1
416	1
417	1
419	1
427	1
428	1
438	1
450	1
451	1
457	1
463	1
471	2
475	1
490	1
493	1
500	1
533	1
545	1
555	1
561	1
584	1
599	1
610	1
784	1
