#
# degree Distribution. G(1574, 32823). 423 (0.2687) nodes with out-deg > avg deg (41.7), 111 (0.0705) with >2*avg.deg (Mon Oct 31 20:53:35 2016)
#
# Out-degree	Count
21	141
22	119
23	96
24	92
25	83
26	64
27	69
28	58
29	57
30	47
31	46
32	49
33	30
34	35
35	31
36	28
37	25
38	21
39	22
40	18
41	20
42	16
43	17
44	22
45	14
46	22
47	12
48	6
49	13
50	7
51	10
52	15
53	3
54	6
55	9
56	8
57	11
58	10
59	8
60	4
61	1
62	8
63	5
64	8
65	6
66	6
67	7
68	4
69	6
70	3
71	5
72	6
73	1
74	5
75	2
76	1
77	5
78	5
79	3
80	2
81	3
82	3
83	4
84	2
85	2
86	3
87	4
88	2
89	4
90	2
91	1
93	3
95	2
97	1
98	1
100	1
101	3
102	1
103	3
104	3
105	1
107	3
108	2
109	2
111	2
114	2
115	1
116	2
122	1
125	1
128	1
130	1
132	1
133	2
134	1
137	2
145	1
149	1
150	1
151	1
152	1
160	1
163	1
164	2
169	2
170	1
173	2
176	1
179	1
182	1
185	1
191	2
198	1
203	1
205	1
207	3
208	1
211	1
219	1
223	1
224	1
227	2
233	1
241	1
243	1
246	1
247	1
248	1
251	1
255	1
259	1
263	1
264	1
266	1
274	1
291	1
295	1
