# Undirected graph (each unordered pair of nodes is saved once): randomgraph.meandegree.10.nodes.1001.elist.txt
# Nodes: 1001 Edges: 5005
# NodeId	NodeId
0	155
0	290
0	540
0	615
0	693
0	782
0	816
1	126
1	212
1	353
1	447
1	519
1	712
1	726
1	738
1	876
1	912
1	944
1	975
2	189
2	241
2	454
2	739
2	975
3	104
3	177
3	228
3	270
3	361
3	469
3	636
3	893
3	915
3	994
4	285
4	377
4	491
4	600
4	630
4	665
4	674
4	694
4	899
4	919
4	930
4	942
5	116
5	140
5	205
5	241
5	823
5	900
5	989
6	41
6	52
6	113
6	396
6	522
6	560
6	649
6	792
6	947
7	82
7	116
7	258
7	333
7	563
7	679
8	52
8	137
8	225
8	247
8	414
8	524
8	568
8	604
8	616
8	794
8	822
8	930
8	940
8	998
9	243
9	352
9	583
9	625
9	810
9	924
10	147
10	327
10	648
10	653
11	304
11	385
11	401
11	418
11	438
11	470
11	516
11	534
11	600
11	705
11	722
11	845
11	964
11	971
12	109
12	208
12	270
12	272
12	401
12	490
12	543
12	718
12	753
12	762
12	777
12	812
13	280
13	373
13	416
13	462
13	592
13	618
13	720
13	722
13	928
14	59
14	174
14	346
14	462
14	503
14	582
14	649
14	709
14	964
15	31
15	129
15	158
15	266
15	286
15	424
15	554
15	599
15	837
15	890
15	927
16	219
16	302
16	431
16	671
16	674
16	830
16	889
16	990
17	81
17	176
17	178
17	333
17	470
17	530
17	578
17	628
17	739
17	783
17	806
17	826
17	857
18	20
18	25
18	184
18	342
18	350
18	375
18	616
18	634
18	783
18	848
19	68
19	84
19	106
19	337
19	555
19	610
19	639
19	729
19	752
19	782
19	790
19	850
19	983
20	34
20	152
20	401
20	439
20	465
20	506
20	509
20	776
20	806
20	822
20	846
20	875
20	889
20	916
21	40
21	125
21	375
21	468
21	518
21	573
22	39
22	43
22	177
22	352
22	488
22	731
22	872
22	934
23	92
23	97
23	172
23	202
23	253
23	306
23	335
23	450
23	703
23	721
23	902
23	914
24	125
24	208
24	226
24	256
24	290
24	323
24	334
24	503
24	704
24	829
25	66
25	67
25	81
25	104
25	213
25	237
25	562
25	961
26	43
26	92
26	121
26	132
26	539
26	567
26	692
26	711
26	840
26	895
26	949
26	969
27	273
27	283
27	929
27	944
27	980
27	982
28	96
28	152
28	219
28	326
28	332
28	657
28	676
28	717
28	723
29	195
29	246
29	308
29	401
29	452
29	552
29	554
29	586
29	717
29	838
30	95
30	110
30	136
30	396
30	483
30	524
30	573
30	603
30	694
30	717
31	342
31	491
31	496
31	554
31	686
31	996
32	65
32	106
32	571
32	585
32	594
32	654
32	899
33	320
33	436
33	473
33	631
33	703
33	763
33	773
33	797
33	872
33	989
34	147
34	162
34	277
34	483
34	613
34	760
34	936
35	47
35	57
35	107
35	119
35	293
35	561
35	600
35	610
35	627
35	705
35	739
35	747
35	933
36	319
36	395
36	580
36	873
37	52
37	295
37	502
37	539
37	581
37	598
37	623
37	664
37	695
37	725
37	831
37	852
37	894
37	955
37	977
37	986
38	128
38	549
38	672
38	750
39	135
39	191
39	250
39	324
39	532
39	873
39	892
39	974
40	107
40	174
40	211
40	243
40	412
40	503
40	517
40	543
40	585
40	615
40	738
40	757
40	912
40	984
41	136
41	151
41	163
41	179
41	247
41	428
41	640
41	684
41	917
42	61
42	229
42	339
42	367
42	446
42	554
42	645
42	680
42	923
43	264
43	269
43	293
43	404
43	437
43	474
43	486
43	507
43	622
43	676
43	778
43	803
43	956
43	971
44	70
44	190
44	380
44	631
44	638
44	676
44	679
44	739
44	783
44	948
45	221
45	267
45	335
45	408
45	531
45	652
46	158
46	239
46	258
46	746
46	761
46	851
46	956
46	986
47	112
47	186
47	250
47	310
47	325
47	356
47	365
47	379
47	656
47	669
47	764
47	798
47	812
48	125
48	258
48	261
48	360
48	362
48	415
48	813
48	853
48	916
49	64
49	185
49	202
49	244
49	258
49	322
49	361
49	863
49	960
50	146
50	263
50	265
50	315
50	352
50	419
50	431
50	702
50	858
50	872
51	312
51	417
51	426
51	463
51	467
51	617
51	653
51	730
51	860
51	923
52	79
52	147
52	467
52	531
52	675
52	844
52	976
53	82
53	83
53	236
53	278
53	279
53	289
53	300
53	343
53	640
53	674
53	765
53	814
53	850
53	928
54	56
54	239
54	278
54	302
54	341
54	400
54	455
54	636
54	649
54	879
55	186
55	342
55	406
55	494
55	527
55	551
55	683
55	851
55	867
55	889
56	199
56	414
56	467
56	574
56	778
56	816
56	853
57	146
57	177
57	202
57	449
57	452
57	488
57	522
57	745
57	768
57	805
57	898
57	927
57	995
58	107
58	286
58	311
58	496
58	579
58	604
58	742
58	811
58	983
59	440
59	478
59	532
59	573
59	656
59	657
59	671
59	675
60	288
60	344
60	397
60	438
60	590
60	618
60	776
60	872
60	875
60	889
61	407
61	419
61	725
61	846
61	876
61	907
61	932
61	980
62	65
62	122
62	136
62	176
62	238
62	478
62	640
62	943
63	126
63	141
63	151
63	349
63	456
63	568
63	605
63	706
63	709
63	723
63	828
63	925
63	929
63	961
64	343
64	356
64	366
64	442
64	471
64	893
64	929
65	90
65	202
65	313
65	545
65	694
65	721
65	722
65	811
65	884
65	886
65	994
66	89
66	100
66	188
66	272
66	303
66	409
66	426
66	447
66	450
66	526
66	608
66	647
66	650
66	701
66	742
66	752
66	776
66	798
66	813
66	904
67	198
67	280
67	384
67	457
67	478
67	618
67	760
67	858
68	234
68	285
68	667
68	699
68	762
68	794
68	995
69	136
69	156
69	175
69	297
69	387
69	556
69	648
69	745
69	858
69	883
69	893
69	985
70	139
70	186
70	311
70	343
70	410
70	448
70	484
70	503
70	552
70	604
70	641
70	695
70	715
70	874
71	283
71	401
71	906
71	982
72	88
72	107
72	202
72	229
72	274
72	301
72	365
72	471
72	498
72	634
72	700
72	752
72	914
72	975
73	111
73	241
73	317
73	412
73	541
73	618
73	724
73	749
73	812
74	150
74	444
74	488
74	634
74	781
74	851
74	971
75	139
75	231
75	351
75	359
75	380
75	414
76	341
76	368
76	430
76	555
76	561
76	671
76	829
77	163
77	168
77	206
77	261
77	324
77	446
77	451
77	591
77	715
77	855
78	98
78	243
78	302
78	477
78	685
78	860
78	862
79	177
79	183
79	187
79	826
79	843
79	853
79	920
80	132
80	259
80	326
80	390
80	473
80	660
80	679
80	984
81	208
81	264
81	327
81	334
81	364
81	481
81	492
81	497
81	619
81	689
81	698
81	780
81	902
81	906
81	937
82	102
82	123
82	282
82	292
82	310
82	321
82	324
82	362
82	397
82	428
82	446
82	550
82	624
82	633
82	644
82	742
83	257
83	275
83	284
83	328
83	335
83	337
83	408
83	432
83	534
83	698
83	797
83	828
83	841
83	850
83	875
83	897
83	900
83	917
83	973
84	147
84	360
84	496
84	500
84	585
84	665
85	606
85	663
85	675
85	771
85	806
85	903
86	409
86	596
86	770
86	778
87	127
87	274
87	360
87	473
87	735
87	964
88	158
88	589
88	608
88	649
88	656
88	784
88	785
88	974
88	978
89	113
89	141
89	193
89	291
89	446
89	485
89	585
89	879
89	913
89	985
90	182
90	695
91	96
91	261
91	300
91	469
91	507
91	562
91	710
91	804
91	899
92	213
92	460
92	535
92	542
92	909
92	981
93	98
93	335
93	365
93	368
93	396
93	427
93	437
93	553
93	600
93	802
94	264
94	277
94	316
94	432
94	498
94	542
94	680
94	719
94	802
94	929
95	121
95	178
95	186
95	214
95	272
95	279
95	343
95	462
95	644
95	709
95	737
95	786
95	787
96	147
96	160
96	177
96	215
96	226
96	367
96	546
96	554
96	585
96	681
96	741
96	877
97	245
97	327
97	352
97	417
97	515
97	679
97	738
97	743
97	802
97	807
97	911
97	986
98	337
98	370
98	659
98	818
98	882
99	105
99	113
99	163
99	200
99	205
99	278
99	326
99	401
99	446
99	518
99	574
99	597
99	612
99	849
99	926
99	971
100	127
100	194
100	211
100	268
100	485
100	644
100	781
100	907
101	117
101	134
101	244
101	349
101	358
101	466
101	532
101	551
101	577
101	629
101	640
101	662
101	706
101	859
102	119
102	190
102	200
102	408
102	419
102	467
102	494
102	506
102	555
102	703
102	711
102	738
102	830
103	112
103	115
103	120
103	197
103	284
103	290
103	512
103	523
103	660
103	818
103	863
103	960
104	294
104	596
104	673
104	714
104	765
104	775
104	812
104	851
104	984
105	217
105	234
105	549
105	619
105	634
105	639
105	753
105	775
105	841
105	892
105	938
105	947
105	982
106	148
106	239
106	298
106	299
106	349
106	500
106	673
107	305
107	316
107	535
107	748
107	777
107	895
108	889
108	970
109	171
109	356
109	378
109	575
109	598
109	784
109	839
109	946
109	976
109	982
110	183
110	186
110	204
110	205
110	239
110	276
110	345
110	398
110	418
110	436
110	486
110	560
110	809
111	188
111	376
111	395
111	549
111	551
111	555
111	738
111	939
111	953
112	174
112	344
112	372
112	487
112	496
112	897
113	174
113	201
113	214
113	247
113	413
113	502
113	599
113	697
113	913
113	923
113	938
114	370
114	515
114	590
114	748
114	844
114	912
114	952
114	988
115	147
115	210
115	228
115	239
115	409
115	484
115	571
115	825
115	948
115	1000
116	266
116	400
116	404
116	421
116	476
116	536
116	581
116	762
116	880
116	893
116	915
117	305
117	329
117	373
117	444
117	471
117	589
117	711
117	884
118	178
118	349
118	472
118	632
118	726
118	856
118	876
119	168
119	242
119	317
119	457
119	503
119	510
119	630
119	894
119	979
120	188
120	295
120	480
120	636
120	910
120	920
121	308
121	336
121	379
121	415
121	443
121	547
121	765
121	810
121	879
121	883
122	307
122	490
122	526
122	887
122	910
122	927
122	960
122	971
123	349
123	394
123	778
123	873
123	874
123	899
123	951
124	128
124	193
124	328
124	634
124	948
124	987
124	999
125	128
125	227
125	240
125	348
125	447
125	583
125	662
125	698
125	791
125	825
125	829
125	911
125	920
126	153
126	196
126	478
126	492
126	710
126	795
126	803
126	966
127	409
127	836
128	153
128	230
128	233
128	270
128	276
128	331
128	334
128	411
128	453
128	523
128	633
128	912
128	983
129	145
129	248
129	337
129	510
129	527
129	613
129	719
129	732
129	796
130	247
130	426
130	471
130	596
130	712
130	734
130	872
130	896
130	976
131	437
131	460
131	540
131	810
131	976
132	216
132	355
132	395
133	235
133	312
133	355
133	373
133	384
133	446
133	511
133	587
133	615
133	959
133	986
134	174
134	203
134	285
134	520
134	658
134	677
134	734
134	826
134	831
134	841
134	842
134	1000
135	267
135	746
135	840
135	851
135	857
135	904
135	987
136	266
136	352
136	414
136	467
136	587
136	775
136	890
137	185
137	297
137	388
137	396
137	590
137	728
137	786
137	843
138	157
138	221
138	241
138	411
138	468
138	903
138	1000
139	196
139	343
139	488
139	725
139	801
139	938
139	995
140	152
140	161
140	180
140	314
140	632
140	645
140	703
140	730
140	771
140	866
140	887
140	909
141	311
141	459
141	523
141	531
141	957
141	991
142	348
142	357
142	967
143	350
143	466
143	513
143	609
143	658
143	692
143	749
143	833
143	866
143	877
143	952
144	175
144	199
144	266
144	293
144	306
144	526
144	600
144	614
144	706
144	708
144	770
144	804
145	419
145	473
145	489
145	603
145	609
145	615
145	824
145	828
145	904
146	152
146	329
146	650
146	702
146	740
146	766
146	778
146	795
146	807
146	954
147	164
147	249
147	280
147	603
147	628
147	631
147	729
147	917
147	937
147	970
148	424
148	613
148	703
148	752
148	903
148	919
148	938
148	974
148	1000
149	189
149	204
149	337
149	365
149	429
149	791
150	265
150	332
150	356
150	608
150	609
150	623
150	633
150	674
150	942
150	991
151	264
151	335
151	352
151	386
151	505
151	627
151	629
151	833
151	901
151	978
151	992
152	188
152	410
152	514
152	564
152	630
152	751
152	878
153	257
153	500
153	539
153	608
153	763
153	796
153	805
153	820
154	239
154	349
154	546
154	702
154	787
155	278
155	355
155	371
155	554
155	728
155	832
155	854
155	941
156	223
156	302
156	331
156	471
156	610
156	647
156	714
157	420
157	577
157	601
157	776
157	969
158	177
158	260
158	321
158	336
158	395
158	433
158	452
158	477
158	507
158	524
158	651
158	729
158	766
158	816
158	892
158	913
159	201
159	220
159	283
159	421
159	499
159	592
159	637
159	658
159	767
159	950
159	962
160	166
160	202
160	221
160	326
160	424
160	621
160	696
160	840
160	880
161	444
161	498
161	518
161	533
161	544
161	587
161	735
161	776
161	825
162	250
162	251
162	456
162	502
162	569
162	617
162	752
162	845
163	353
163	483
163	574
163	624
163	665
163	737
163	803
163	862
163	926
164	238
164	528
164	565
164	601
164	656
164	680
164	863
165	179
165	197
165	227
165	242
165	336
165	378
165	576
166	250
166	296
166	478
166	594
166	772
166	833
167	177
167	317
167	360
167	475
167	698
167	724
167	828
167	881
167	893
167	931
167	949
168	182
168	225
168	262
168	290
168	319
168	491
168	515
168	546
168	846
168	906
169	220
169	548
169	549
169	557
169	573
169	592
169	715
169	948
170	179
170	470
170	598
170	724
170	870
170	981
171	206
171	319
171	328
171	347
171	384
171	532
171	539
171	550
171	778
171	787
171	830
171	939
172	275
172	422
172	461
172	472
172	635
172	688
172	861
173	178
173	632
173	747
173	808
173	826
174	280
174	479
174	509
174	532
174	546
174	569
174	577
174	599
174	633
174	642
174	761
174	831
174	833
174	843
175	357
175	503
175	532
175	653
175	722
175	746
175	924
176	227
176	240
176	341
176	506
176	555
176	556
176	699
177	199
177	211
177	240
177	404
177	783
178	240
178	271
178	374
178	688
178	882
179	243
179	258
179	397
179	411
179	418
179	488
179	497
179	526
179	591
179	613
179	919
179	1000
180	278
180	302
180	419
180	518
180	898
180	925
180	963
181	268
181	301
181	368
181	443
181	614
181	744
181	992
182	849
182	897
182	956
183	187
183	285
183	334
183	514
183	536
183	564
183	615
183	725
183	779
183	850
184	408
184	422
184	686
184	727
184	817
184	965
184	970
185	222
185	343
185	406
185	544
185	566
185	577
185	654
185	717
185	784
186	347
186	388
186	473
186	805
186	872
186	945
186	990
187	227
187	239
187	263
187	323
187	461
187	504
187	565
187	625
187	662
187	742
187	884
187	943
187	999
188	246
188	311
188	416
188	504
188	572
188	575
188	758
188	818
188	840
188	947
189	282
189	347
189	548
189	626
189	632
189	685
189	843
190	501
190	560
190	596
190	669
190	720
190	746
190	831
190	855
191	222
191	289
191	386
191	569
191	863
191	978
192	306
192	683
192	852
193	400
193	465
193	509
193	645
193	742
193	748
193	760
194	296
194	322
194	534
194	563
194	624
194	739
194	859
194	904
195	345
195	382
195	483
195	650
195	662
195	667
195	678
195	893
195	895
